"id_audit";"customer";"serial"
21;"2";"15551"
23;"2";"15403"
25;"2";"16084"
147;"2";"17087"
746;"2";"15486"
919;"2";"16702"
945;"2";"16862"
946;"2";"16831"
948;"2";"15477"
1326;"1";"16391"
1375;"2";"15422"
1500;"2";"15998"
1509;"2";"15319"
1511;"2";"15316"
1512;"2";"15131"
1614;"2";"15757"
2002;"2";"16831"
2199;"2";"15757"
2590;"2";"15392"
2591;"2";"15757"
2948;"2";"15757"
3491;"2";"15600"
3761;"2";"16544"
3762;"2";"16556"
3763;"2";"16650"
3921;"2";"15986"
3922;"2";"15998"
4290;"2";"15854"
4352;"2";"16560"
4353;"2";"16503"
5106;"2";"16461"
5107;"2";"16110"
5215;"2";"15757"
5856;"2";"17968"
5920;"2";"16180"
6110;"2";"15765"
6111;"2";"15757"
6680;"2";"15371"
6798;"2";"15769"
6825;"2";"16063"
7600;"2";"15427"
7621;"2";"15857"
7626;"2";"15725"
7627;"2";"15422"
7628;"2";"15849"
7629;"2";"15606"
7630;"2";"15461"
7668;"2";"15757"
8228;"2";"15606"
8229;"2";"15461"
8843;"2";"17257"
9167;"2";"15423"
9419;"2";"17392"
9420;"2";"16974"
9608;"2";"15616"
9673;"2";"16140"
9789;"2";"15871"
9790;"2";"15924"
10172;"2";"15123"
10173;"2";"15150"
10174;"2";"15152"
10175;"2";"15132"
10176;"2";"15115"
10363;"2";"15422"
10621;"2";"15998"
10741;"2";"16121"
10853;"2";"16136"
10863;"2";"15422"
10864;"2";"15867"
10934;"2";"16415"
10935;"2";"16422"
11172;"2";"15721"
11173;"2";"15813"
11174;"2";"15698"
11569;"2";"15616"
11748;"2";"16136"
11782;"2";"15422"
11932;"2";"15142"
12023;"2";"15711"
12098;"2";"15422"
12937;"2";"15142"
13040;"2";"15422"
13041;"2";"15849"
13043;"2";"15422"
13044;"2";"15849"
13086;"2";"16993"
13087;"2";"17077"
13088;"2";"16879"
13105;"2";"16968"
13106;"2";"17127"
13107;"2";"17173"
14911;"2";"16245"
14996;"2";"15757"
15246;"2";"16993"
15247;"2";"17077"
15248;"2";"16879"
15431;"2";"15495"
15593;"2";"15403"
15818;"2";"15102"
16066;"2";"15658"
16140;"2";"15860"
16295;"2";"16993"
16356;"2";"15757"
16618;"2";"15422"
16748;"2";"17623"
16772;"2";"15199"
16773;"2";"15208"
16774;"2";"15146"
16775;"2";"15176"
16776;"2";"15218"
16777;"2";"15196"
16798;"2";"16063"
16820;"2";"15757"
18028;"2";"15486"
18280;"2";"15351"
18369;"2";"16036"
18857;"2";"15385"
19562;"2";"15757"
19576;"2";"15833"
19589;"2";"16062"
20154;"2";"15668"
20336;"2";"15496"
20391;"2";"15757"
20432;"2";"15233"
20487;"2";"15833"
20813;"2";"15833"
21601;"2";"15137"
21672;"2";"15757"
22862;"2";"15757"
24081;"2";"15757"
24082;"2";"15757"
24153;"2";"16180"
25629;"2";"16571"
26175;"2";"15911"
26176;"2";"15757"
26243;"2";"15478"
26269;"2";"15609"
26366;"2";"15725"
26376;"2";"15678"
26732;"2";"15757"
26736;"2";"15721"
26737;"2";"15698"
27490;"2";"15757"
27491;"2";"15757"
27580;"2";"17140"
27583;"2";"16563"
27600;"2";"15353"
27613;"2";"17251"
27619;"2";"16097"
27671;"2";"17109"
27672;"2";"16444"
29099;"2";"15757"
29100;"2";"15757"
29101;"2";"15757"
29102;"2";"15757"
29103;"2";"15757"
29104;"2";"15757"
29105;"2";"15757"
29106;"2";"15757"
29107;"2";"15757"
29108;"2";"15757"
29109;"2";"15757"
29110;"2";"15757"
29111;"2";"15757"
29112;"2";"15757"
29113;"2";"15757"
29114;"2";"15757"
29115;"2";"15757"
29116;"2";"15757"
29117;"2";"15757"
29118;"2";"15757"
29119;"2";"15757"
29125;"2";"15757"
29126;"2";"15757"
29460;"2";"15752"
29600;"2";"15421"
30976;"2";"15084"
30977;"2";"15100"
31468;"2";"15740"
31478;"2";"15740"
32434;"2";"15575"
32939;"2";"15656"
32954;"2";"15183"
32982;"2";"15326"
33150;"2";"15399"
33151;"2";"15356"
33152;"2";"15360"
33153;"2";"15839"
33154;"2";"15840"
33155;"2";"15391"
33163;"2";"15105"
33290;"2";"15582"
33291;"2";"15112"
33292;"2";"15089"
33298;"2";"15112"
33303;"2";"15303"
33312;"2";"15280"
33377;"2";"16089"
33513;"2";"15833"
33524;"2";"15163"
33589;"2";"15433"
33645;"2";"15192"
33646;"2";"15138"
34257;"2";"15237"
34336;"2";"15177"
34339;"2";"15177"
34340;"2";"15177"
34369;"2";"15521"
34399;"2";"15616"
34434;"2";"15788"
34439;"2";"15788"
34442;"2";"15186"
35227;"2";"15348"
35319;"2";"15329"
35430;"2";"15147"
35431;"2";"15147"
35432;"2";"15169"
35448;"2";"15174"
53513;"2";"15495"
54467;"2";"15176"
54589;"2";"16180"
54595;"2";"15818"
54960;"2";"16251"
55065;"2";"17057"
55140;"2";"16180"
59012;"2";"15263"
59013;"2";"15266"
59102;"2";"15359"
59121;"2";"15130"
59184;"2";"15089"
59226;"2";"15469"
59227;"2";"15505"
59228;"2";"15395"
59245;"2";"15109"
59273;"2";"15168"
59275;"2";"15113"
59276;"2";"15185"
66525;"2";"15962"
66621;"2";"16790"
66623;"2";"15854"
66642;"2";"15253"
66774;"2";"15486"
68122;"2";"15311"
68181;"2";"15290"
72441;"2";"15962"
72534;"2";"15933"
73331;"2";"16461"
73332;"2";"16110"
73551;"2";"15736"
73594;"2";"16975"
73955;"2";"15757"
78913;"2";"15101"
78983;"2";"15084"
78984;"2";"15100"
80077;"2";"17190"
80503;"2";"15757"
80612;"2";"15430"
80898;"2";"15148"
80899;"2";"15165"
80900;"2";"15180"
80901;"2";"15170"
80902;"2";"15126"
80903;"2";"15182"
81032;"2";"15100"
81678;"2";"15100"
81679;"2";"15090"
82226;"2";"15141"
83541;"2";"15090"
88364;"2";"15100"
88697;"2";"15100"
91044;"2";"15084"
92407;"2";"15084"
92408;"2";"15100"
93858;"2";"15136"
93995;"2";"15101"
94049;"2";"15129"
94190;"2";"15084"
95002;"2";"15090"
96720;"2";"15841"
96721;"2";"15388"
96754;"2";"16571"
96860;"2";"15757"
96894;"2";"16255"
97204;"2";"15830"
97365;"2";"17440"
97366;"2";"17417"
99352;"2";"15096"
99353;"2";"15081"
102164;"2";"15296"
102165;"2";"15332"
102166;"2";"15335"
112367;"2";"15084"
114431;"2";"15141"
115538;"2";"15101"
118224;"2";"15101"
119365;"2";"15101"
120700;"2";"15096"
120701;"2";"15081"
120702;"2";"15095"
120913;"2";"15098"
122377;"2";"15081"
123301;"2";"15081"
124804;"2";"15081"
125444;"2";"15081"
125588;"2";"15490"
126063;"2";"15254"
126107;"2";"16196"
126184;"2";"17687"
126262;"2";"15358"
126355;"2";"15765"
126356;"2";"15757"
126721;"1";"16587"
126997;"2";"16460"
126998;"2";"16427"
127087;"2";"15710"
127089;"2";"15765"
127090;"2";"15757"
127870;"2";"15609"
129451;"2";"15081"
129452;"2";"15081"
130757;"2";"18467"
131534;"2";"15737"
131535;"2";"17251"
131571;"2";"15841"
131657;"2";"15765"
131658;"2";"15757"
132264;"2";"15081"
137571;"2";"15096"
137572;"2";"15081"
140919;"2";"15096"
140920;"2";"15081"
142971;"2";"15081"
149223;"2";"15970"
149225;"2";"15781"
149412;"2";"15605"
149484;"2";"15601"
149491;"2";"15630"
149503;"2";"16173"
149509;"2";"15610"
149521;"2";"15239"
149529;"2";"15626"
149536;"2";"16047"
149550;"2";"15854"
149551;"2";"15864"
149563;"2";"16775"
149564;"2";"17073"
149572;"2";"15725"
149631;"2";"15201"
149632;"2";"15538"
149736;"2";"15662"
149771;"2";"16849"
149772;"2";"18536"
149803;"2";"16693"
149804;"2";"16720"
149805;"2";"16706"
149815;"2";"15495"
149817;"2";"15984"
149818;"2";"16002"
149819;"2";"16005"
149822;"2";"16412"
150002;"2";"16994"
151599;"2";"15253"
151939;"2";"16173"
152143;"2";"15968"
174376;"2";"16316"
174500;"2";"16341"
174720;"2";"16778"
174743;"2";"15422"
174908;"2";"15765"
174909;"2";"15757"
174962;"2";"15430"
175065;"2";"17648"
175321;"2";"15323"
175322;"2";"15911"
175357;"2";"16173"
175584;"2";"16748"
175667;"2";"15858"
175668;"2";"16501"
175669;"2";"16411"
175670;"2";"16457"
175671;"2";"16405"
175813;"2";"15638"
175835;"2";"16924"
185383;"2";"16488"
185487;"2";"15298"
185500;"2";"15887"
185501;"2";"15434"
185503;"2";"16742"
186105;"2";"16299"
186324;"2";"15203"
186448;"2";"15388"
186533;"2";"15152"
186704;"2";"17486"
186727;"2";"16182"
186729;"2";"15830"
186736;"2";"15152"
186817;"2";"17726"
187286;"2";"16528"
187287;"2";"15160"
187288;"2";"15160"
187289;"2";"15160"
187290;"2";"15854"
187364;"2";"15298"
187375;"2";"16659"
187381;"2";"16489"
187470;"2";"15535"
187506;"2";"17687"
203683;"2";"16730"
204170;"2";"16538"
204239;"2";"15736"
204307;"2";"15486"
204488;"2";"18018"
204493;"2";"16486"
204506;"2";"16386"
204508;"2";"16382"
204509;"2";"16304"
212799;"2";"15358"
213007;"2";"16120"
213048;"2";"16966"
213141;"2";"16067"
213153;"2";"17903"
230989;"2";"16875"
231012;"2";"17215"
231066;"2";"15243"
231113;"2";"15181"
231124;"2";"16687"
231125;"2";"16687"
231158;"2";"16239"
231249;"2";"16459"
231250;"2";"16437"
231311;"2";"15609"
231375;"2";"15860"
231376;"2";"16893"
231401;"2";"15453"
231438;"2";"16712"
231471;"2";"15497"
231603;"2";"17007"
231730;"2";"16335"
231748;"2";"19012"
231827;"2";"16054"
231828;"2";"16054"
250141;"2";"15725"
250447;"2";"15430"
250538;"2";"15985"
250539;"2";"16006"
250540;"2";"16007"
250543;"2";"15495"
250850;"2";"16744"
251380;"2";"16642"
251946;"2";"18080"
252003;"2";"17487"
252229;"2";"17148"
252262;"2";"16486"
252314;"2";"17763"
252575;"2";"15388"
252833;"2";"17763"
253029;"2";"16248"
253242;"2";"16440"
253622;"2";"16335"
253623;"2";"16486"
253628;"2";"16382"
254020;"2";"16110"
254029;"2";"15181"
254032;"2";"15262"
254356;"2";"17215"
254399;"2";"15998"
254404;"2";"16656"
254411;"2";"19159"
254426;"2";"17875"
254434;"2";"15690"
254480;"2";"18239"
254589;"2";"15765"
254590;"2";"15757"
254591;"2";"15765"
254592;"2";"15757"
